"ID" "CustomerID" "ReceivedAt" "DeviceReportedTime" "Facility" "Priority" "FromHost" "Message" "NTSeverity" "Importance" "EventSource" "EventUser" "EventCategory" "EventID" "EventBinaryData" "MaxAvailable" "CurrUsage" "MinUsage" "MaxUsage" "InfoUnitID" "SysLogTag" "EventLogType" "GenericFileName" "SystemID" "processid" "checksum"
"1" 49841176 NA "2015-12-08 23:59:14" "2015-12-09 00:00:16" 20 4 "ce005" " 00:00:16.566 10642 AUDIT nova.compute.resource_tracker [-] Auditing locally available compute resources" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"2" 49841177 NA "2015-12-08 23:59:14" "2015-12-09 00:00:16" 20 4 "ce005" " 00:00:16.757 10642 AUDIT nova.compute.resource_tracker [-] Free ram (MB): 23506" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"3" 49841178 NA "2015-12-08 23:59:14" "2015-12-09 00:00:16" 20 4 "ce005" " 00:00:16.758 10642 AUDIT nova.compute.resource_tracker [-] Free disk (GB): 899" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"4" 49841179 NA "2015-12-08 23:59:14" "2015-12-09 00:00:16" 20 4 "ce005" " 00:00:16.758 10642 AUDIT nova.compute.resource_tracker [-] Free VCPUS: 8" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"5" 49841242 NA "2015-12-08 23:59:48" "2015-12-09 00:00:07" 20 4 "KR-07" " 00:00:07.964 2284 AUDIT nova.compute.resource_tracker [-] Auditing locally available compute resources" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"6" 49841243 NA "2015-12-08 23:59:49" "2015-12-09 00:00:08" 20 4 "KR-07" " 00:00:08.567 2284 AUDIT nova.compute.resource_tracker [-] Free ram (MB): 112510" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"7" 49841244 NA "2015-12-08 23:59:49" "2015-12-09 00:00:08" 20 4 "KR-07" " 00:00:08.568 2284 AUDIT nova.compute.resource_tracker [-] Free disk (GB): 1307" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"8" 49841245 NA "2015-12-08 23:59:49" "2015-12-09 00:00:08" 20 4 "KR-07" " 00:00:08.568 2284 AUDIT nova.compute.resource_tracker [-] Free VCPUS: -12" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"9" 49841306 NA "2015-12-09 00:00:03" "2015-12-09 00:00:02" 20 4 "ucs02" " 00:00:02.211 6190 AUDIT nova.compute.resource_tracker [-] Auditing locally available compute resources" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"10" 49841309 NA "2015-12-09 00:00:03" "2015-12-09 00:00:02" 20 4 "ucs02" " 00:00:02.565 6190 AUDIT nova.compute.resource_tracker [-] Free ram (MB): 31692" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
